mfcc1,rms,zcr,pitch_std,silence_pct
-435.8648,0.012652344,0.0517042640530405,79.87281037758656,21.31343513805337
-417.91418,0.015479307,0.0516391957491804,74.54200938873804,29.583906743301224
-362.83905,0.03141236,0.0532498520883705,60.85872727488707,42.38341968911917
-371.09653,0.03225938,0.0474860290784799,68.23074594560478,58.08695652173913
-382.2567,0.01807558,0.0680281182698811,58.57350426303252,31.484514061943752
-349.58356,0.03342455,0.066966357456875,60.27280835839647,57.33341644330861
-415.3598,0.01732343,0.0515104476339535,67.36129069245553,39.56572835637137
-418.62512,0.016547535,0.0485140353052214,70.48615740034123,34.288932118357735
-350.92783,0.035289075,0.0624820059143273,55.11255815799768,57.20878064412754
-419.5711,0.018231837,0.0519556936327656,71.45132226492173,36.62423750925567
-342.19547,0.039494816,0.0551488547546678,58.26627723547762,48.24404277262119
-346.90027,0.030727105,0.0691802020927115,54.334247890359634,51.21811280783829
-424.3365,0.01678241,0.0499433557750248,70.45013394780625,39.20502883070234
-381.3996,0.020531254,0.0581812118114428,60.84700865874428,41.521918941273775
-412.2505,0.01586175,0.0524943718059676,68.27287829968716,29.10841466631496
-407.94525,0.017455589,0.0523066051476673,61.92162493113848,22.621536853110296
-430.75247,0.014782763,0.0438266813524085,77.11048543240987,29.40596985518668
-423.7649,0.016572641,0.0472750596635454,62.85783751338415,31.57875980042765
-421.20752,0.016428549,0.0513935969868173,80.47093713246407,24.09883611435459
-397.3088,0.023420593,0.0523158557272874,67.69335759934525,46.04696251615683
