,RF_SHAP,LOG_SHAP
mfcc1,0.1495870408655131,0.15773119840033004
rms,0.1495870408655131,6.486048219727786e-05
pitch_std,0.119242446853558,0.3217072516604282
zcr,0.11924244685355798,1.3083328500444233e-05
silence_pct,0.020178154998293885,0.3051804295338246
