Model,Accuracy,F1_weighted
KNN,0.8888888888888888,0.8888888888888888
SVM,0.8888888888888888,0.8888888888888888
RandomForest,0.7777777777777778,0.7722222222222223
DecisionTree,0.5555555555555556,0.48148148148148145
